,object_id,taxonomy,name
3894,12077,event,Book
3896,12079,event,Book
3898,12081,event,Film Appearance
3900,12083,event,Book
3902,12085,event,Book
3906,12090,event,Magazine Cover
3909,12092,event,Appearance Cancellation
3911,12093,event,Appearance Cancellation
3915,12096,event,Film Appearance
3918,12098,event,Book
3920,12101,event,Book
3922,12103,event,Book
3924,12105,event,Book
3926,12107,event,Death
3928,12108,event,Announcement
3931,12110,event,Book
3933,12113,event,Book
3938,12118,event,Hosts Show
3941,12119,event,Breakup
3952,12132,event,Directs
3956,12133,event,Directs
3968,12155,event,Directs
3971,12157,event,Film Appearance
3974,12158,event,Acquisition
3976,12160,event,Announcement
3980,12163,event,Film Appearance
3993,12183,event,Film Appearance
3999,12187,event,Announcement
4001,12192,event,Announcement
4004,12221,event,IPO
4010,12230,event,Breakup
4012,12231,event,Apology
4014,12232,event,Birth
4019,12236,event,Fundraising
4022,12238,event,Interview
4024,12239,event,Announcement
4026,12240,event,Announcement
4030,12243,event,Announcement
4036,12249,event,Arrest
4039,12250,event,Makes Statement
4042,12253,event,Interview
4049,12259,event,TV Appearance
4051,12261,event,Announcement
4054,12287,event,Nomination
4061,12299,event,Audition
4066,12302,event,Announcement
4068,12304,event,Illness
4069,12304,event,Announcement
4071,12306,event,Audition
4075,12312,event,Cameo/Guest Appearance
4078,12315,event,Car Crash
4089,12327,event,Announcement
4093,12331,event,Death
4095,12332,event,Gives Talk
4097,12333,event,Announcement
4099,12335,event,Gives Talk
4106,12340,event,Announcement
4116,12357,event,Makes Statement
4119,12359,event,Makes Statement
4125,12371,event,TV Appearance
4128,12375,event,Announcement
4131,12379,event,Announcement
4136,12382,event,Interview
4138,12384,event,Interview
4143,12390,event,Music Performance
4144,12390,event,TV Appearance
4178,12427,event,Birth
4180,12443,event,Announcement
4182,12445,event,Charged
4192,12469,event,Birth
4197,12476,event,TV Appearance
4210,12513,event,Tony
4212,12514,event,Tony
4214,12517,event,Tony
4224,12531,event,Book
4228,12537,event,Political Endorsement
4230,12538,event,Political Endorsement
4233,12546,event,Birth
4237,12551,event,Music Performance
4239,12553,event,Announcement
4259,12584,event,Birth
4265,12606,event,Birth
4270,12610,event,Announcement
4281,12621,event,Announcement
4283,12624,event,Birth
4286,12631,event,Book
4292,12633,event,Founding
4295,12634,event,Founding
4298,12640,event,Book
4300,12642,event,Book
4302,12644,event,Announcement
4308,12650,event,Book
4310,12653,event,Book
4312,12654,event,Film Appearance
4318,12660,event,Donation
4320,12662,event,Makes Statement
4323,12663,event,Announcement
4325,12667,event,Makes Statement
4328,12668,event,Music Performance
4330,12669,event,Makes Statement
4332,12674,event,Makes Statement
4337,12683,event,Makes Statement
4339,12684,event,Divorce
4341,12685,event,Home purchase/sale
4343,12686,event,Makes Statement
4347,12690,event,Makes Statement
4351,12692,event,Marriage
4353,12693,event,Makes Statement
4357,12694,event,Hired
4360,12696,event,Makes Statement
4364,12702,event,Founding
4366,12703,event,Makes Statement
4368,12707,event,Makes Statement
4370,12709,event,Birth
4372,12714,event,Film Appearance
4376,12718,event,Announcement
4378,12719,event,Film Appearance
4380,12720,event,Makes Statement
4384,12733,event,Announcement
4386,12734,event,Casting
4388,12735,event,Casting
4399,12741,event,Announcement
4401,12742,event,TV Appearance
4407,12753,event,Fundraising
4415,12778,event,Single Release
4424,12789,event,Breakup
4428,12791,event,Marriage
